Provincia;Municipio;INE;Núcleo;INE Extendido;Fecha fiesta;Nombre fiesta
Burgos;FUENTESPINA;91412;;;2020-06-09;Fiesta del Padre Eterno
Burgos;HAZA;91558;;;2020-07-31;Beata Juana de Haza
Burgos;HAZA;91558;;;2020-08-01;San Miguel
Burgos;HONTANGAS;91600;;;2020-06-24;
Burgos;HORRA (LA);91681;;;2020-02-12;
Burgos;MORADILLO DE ROA;92289;;;2020-09-08;
Burgos;OLMEDILLO DE ROA;92352;;;2020-09-03;
Burgos;OLMEDILLO DE ROA;92352;;;2020-09-04;
Burgos;OQUILLAS;92390;;;2020-08-28;
Burgos;QUINTANA DEL PIDIO;92812;;;2020-09-07;
Burgos;QUINTANA DEL PIDIO;92812;;;2020-09-08;
Burgos;ROA;93214;;;2020-06-11;
Burgos;SAN JUAN DEL MONTE;93370;;;2020-02-13;
Burgos;SAN JUAN DEL MONTE;93370;;;2020-06-24;
Burgos;SANTA CRUZ DE LA SALCEDA;93459;;;2020-07-03;
Burgos;SANTA MARÍA DEL MERCADILLO;93522;;;2020-05-27;
Burgos;TERRADILLOS DE ESGUEVA;93804;;;2020-05-15;San Isidro
Burgos;TUBILLA DEL LAGO;93961;;;2020-08-14;
Burgos;TUBILLA DEL LAGO;93961;;;2020-09-29;
Burgos;VADOCONDES;94000;;;2020-09-24;
Burgos;VID Y BARRIOS (LA);94213;;;2020-08-28;
Burgos;VILLALBILLA DE GUMIEL;94402;;;2020-07-24;
Burgos;ABAJAS;90011;;;2020-09-14;La Cruz
Burgos;BRIVIESCA;90562;;;2020-05-19;La Tabera
Burgos;BRIVIESCA;90562;;;2020-08-17;San Roque
Burgos;BUSTO DE BUREBA;90601;;;2020-11-11;San Martín
Burgos;CANTABRANA;90682;;;2020-07-25;Santiago Apóstol
Burgos;CUBO DE BUREBA;91157;;;2020-05-15;San Isidro
Burgos;CUBO DE BUREBA;91157;;;2020-11-12;San Millán
Burgos;GRISALEÑA;91499;;;2020-05-29;
Burgos;OÑA;92387;;;2020-08-26;San Vitores
Burgos;OÑA;92387;;;2020-10-21;Santa Paulina
Burgos;PRADOLUENGO;92740;;;2020-08-17;
Burgos;PRADOLUENGO;92740;;;2020-09-11;
Burgos;REDECILLA DEL CAMINO;93076;;;2020-05-15;
Burgos;ALFOZ DE QUINTANADUEÑAS;99070;;;2020-06-19;
Burgos;ALFOZ DE QUINTANADUEÑAS;99070;;;2020-10-05;
Burgos;ARCOS;90238;;;2020-06-29;
Burgos;ARENILLAS DE RIOPISUERGA;90243;;;2020-09-15;
Burgos;BARRIO DE MUÑÓ;90413;;;2020-05-15;San Isidro
Burgos;BARRIO DE MUÑÓ;90413;;;2020-08-01;San Pedrillo
Burgos;BASCONCILLOS DEL TOZO;90452;;;2020-05-15;
Burgos;BASCONCILLOS DEL TOZO;90452;;;2020-06-29;
Burgos;BUNIEL;90584;;;2020-05-15;San Isidro
Burgos;BURGOS;90597;;;2020-06-19;Curpillos
Burgos;CARCEDO DE BURGOS;90721;;;2020-11-18;San Román
Burgos;CARDEÑADIJO;90737;;;2020-07-16;Virgen del Carmen
Burgos;CARDEÑAJIMENO;90742;;;2020-05-15;San Isidro
Burgos;CASTRILLO DEL VAL;90866;;;2020-06-24;San Juan
Burgos;CELADA DEL CAMINO;90951;;;2020-09-29;
Burgos;HUÉRMECES;91720;;;2020-06-24;San Juan
Burgos;HUÉRMECES;91720;;;2020-08-10;San Lorenzo
Burgos;HURONES;91767;;;2020-10-07;
Burgos;IBEAS DE JUARROS;91773;;;2020-09-30;San Miguel
Burgos;MELGAR DE FERNAMENTAL;92117;;;2020-08-17;
Burgos;MODÚBAR DE LA EMPAREDADA;92215;;;2020-06-29;San Pedro y San Pablo
Burgos;PALAZUELOS DE MUÑÓ;92498;;;2020-05-15;San Isidro
Burgos;PAMPLIEGA;92501;;;2020-02-21;San Pedro de Cátedra
Burgos;PINEDA DE LA SIERRA;92668;;;2020-09-14;Día de la Cruz
Burgos;QUINTANILLAS (LAS);92978;;;2020-09-28;
Burgos;SOTRAGERO;93728;;;2020-08-17;San Roque
Burgos;SOTRESGUDO;93734;;;2020-05-15;San Isidro
Burgos;SOTRESGUDO;93734;GUADILLA DE VILLAMAR;9373000500;2020-05-04;Cruz de Mayo
Burgos;TUBILLA DEL AGUA;93958;;;2020-08-17;
Burgos;VALDORROS;94069;;;2020-08-03;San Esteban
Burgos;VALDORROS;94069;;;2020-10-07;Virgen del Rosario
Burgos;VALLE DE LAS NAVAS;99048;RIOSERAS;9904000400;2020-07-16;Virgen del Carmen
Burgos;VALLE DE LAS NAVAS;99048;TOBES;9904000700;2020-05-08;San Miguel
Burgos;VALLE DE LAS NAVAS;99048;TOBES;9904000700;2020-09-29;San Miguel
Burgos;VALLE DE LAS NAVAS;99048;TEMIÑO;9904000600;2020-07-04;Primer sábado de julio
Burgos;VALLE DE LAS NAVAS;99048;MELGOSA;9904000200;2020-12-10;Santa Eulalia
Burgos;VILLAGONZALO PEDERNALES;94347;;;2020-05-15;
Burgos;VILLALBILLA DE BURGOS;94398;;;2020-06-19;Curpillos
Burgos;VILLALBILLA DE BURGOS;94398;;;2020-06-29;San Pedro
Burgos;VILLALDEMIRO;94419;;;2020-05-15;
Burgos;VILLALDEMIRO;94419;;;2020-10-05;
Burgos;VILLAQUIRÁN DE LOS INFANTES;94568;;;2020-09-08;
Burgos;VILLAZOPEQUE;94727;;;2020-05-15;San Isidro
Burgos;VILLAZOPEQUE;94727;;;2020-06-24;San Juan
Burgos;BELBIMBRE;90471;;;2020-05-15;San Isidro
Burgos;BELBIMBRE;90471;;;2020-09-08;Ntra. Señora
Burgos;COVARRUBIAS;91139;;;2020-09-27;
Burgos;LERMA;91947;;;2020-09-07;Ntra. Sra. de la Natividad
Burgos;OLMILLOS DE MUÑÓ;92365;;;2020-06-22;Santo Tomás Moro
Burgos;PUENTEDURA;92772;;;2020-05-15;San Isidro
Burgos;ROYUELA DE RÍO FRANCO;93253;;;2020-01-20;San Sebastián
Burgos;SANTA MARÍA DEL CAMPO;93500;;;2020-06-12;Curpillos
Burgos;TORRECILLA DEL MONTE;93863;;;2020-07-25;
Burgos;VILLAMAYOR DE LOS MONTES;94430;;;2020-05-15;Virgen de la Nava
Burgos;VILLAMAYOR DE LOS MONTES;94430;;;2020-10-27;San Vicente, Sabina y Cristeta
Burgos;ZAEL;94803;;;2020-05-15;San Isidro
Burgos;ALTABLE;90130;;;2020-05-15;San Isidro
Burgos;CONDADO DE TREVIÑO;91097;;;2020-04-28;San Prudencio
Burgos;MIRANDA DE EBRO;92194;;;2020-06-01;San Juan del Monte
Burgos;MIRANDA DE EBRO;92194;;;2020-09-12;Ntra. Sra. de Altamira
Burgos;PUEBLA DE ARGANZÓN (LA);92766;;;2020-05-15;San Isidro
Burgos;ARAUZO DE SALCE;90217;;;2020-07-14;San Buenaventura
Burgos;ARAUZO DE TORRE;90222;;;2020-06-29;San Pedro
Burgos;BARBADILLO DEL MERCADO;90389;;;2020-10-05;
Burgos;CABEZÓN DE LA SIERRA;90623;;;2020-06-01;
Burgos;CARAZO;90709;;;2020-12-29;Santa Eugenia
Burgos;ESPINOSA DE CERVERA;91221;;;2020-11-12;San Millán
Burgos;GALLEGA (LA);91448;;;2020-08-24;
Burgos;HONTORIA DEL PINAR;91638;;;2020-08-17;San Roque
Burgos;HORTIGÜELA;91694;;;2020-07-16;Virgen del Carmen
Burgos;NEILA;92328;;;2020-08-17;San Roque
Burgos;PALACIOS DE LA SIERRA;92463;;;2020-02-24;Lunes de Carnaval
Burgos;PALACIOS DE LA SIERRA;92463;;;2020-12-10;Santa Eulalia
Burgos;PINILLA DE LOS BARRUECOS;92680;;;2020-05-15;
Burgos;PINILLA DE LOS MOROS;92693;;;2020-07-27;
Burgos;RABANERA DEL PINAR;93023;;;2020-05-20;
Burgos;RABANERA DEL PINAR;93023;;;2020-08-28;
Burgos;RIOCAVADO DE LA SIERRA;93180;;;2020-07-27;Santiago Apóstol
Burgos;SALAS DE LOS INFANTES;93305;;;2020-08-17;San Roque
Burgos;SANTO DOMINGO DE SILOS;93581;;;2020-07-02;Santa Isabel
Burgos;VILLANUEVA DE CARAZO;94509;;;2020-02-03;San Blas
Burgos;VILVIESTRE DEL PINAR;94252;;;2020-06-13;
Burgos;ALFOZ DE SANTA GADEA;90124;;;2020-08-14;
Burgos;JUNTA DE TRASLALOMA;91890;;;2020-10-06;
Burgos;MERINDAD DE CUESTA-URRIA;92138;;;2020-05-15;San Isidro
Burgos;MERINDAD DE CUESTA-URRIA;92138;;;2020-06-29;San Pedro y San Pablo
Burgos;MERINDAD DE SOTOSCUEVA;92156;;;2020-05-15;San Isidro
Burgos;PARTIDO DE LA SIERRA EN TOBALINA;92557;;;2020-08-31;Día del municipio
Burgos;VALLE DE MENA;94108;;;2020-05-08;
Burgos;VALLE DE MENA;94108;;;2020-06-13;
Burgos;VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA;99033;;;2020-07-18;Santa Marina
León;ACEBEDO;240016;ACEBEDO;24001000000;2020-08-19;Fiesta de Hermandad
León;ACEBEDO;240016;LIEGOS;24001000200;2020-08-19;Fiesta de Hermandad
León;ACEBEDO;240016;UÑA (LA);24001000300;2020-08-19;Fiesta de Hermandad
León;ALGADEFE;240021;;;2020-05-15;San Isidro
León;ALGADEFE;240021;;;2020-01-17;San Antón
León;ALIJA DEL INFANTADO;240037;ALIJA DEL INFANTADO;24003000000;2020-05-15;San Isidro
León;ALIJA DEL INFANTADO;240037;NAVIANOS DE LA VEGA;24003000200;2020-05-15;San Isidro
León;ANTIGUA (LA);240055;RIBERA DE LA POLVOROSA;24005000500;2020-06-26;
León;ARDÓN;240068;ARDÓN;24006000000;2020-06-11;El Corpus Cristi
León;ARDÓN;240068;BENAZOLVE;24006000200;2020-07-30;Santa Marta
León;ARDÓN;240068;BENAZOLVE;24006000200;2020-07-31;Santa Marta
León;ARDÓN;240068;CILLANUEVA;24006000300;2020-08-03;Santos Justo y Pastor
León;ARDÓN;240068;CILLANUEVA;24006000300;2020-08-04;Santos Justo y Pastor
León;ARDÓN;240068;VILLALOBAR;24006000600;2020-05-07;San Miguel Arcángel
León;ARGANZA;240074;CANEDO;24007000300;2020-09-08;Día del Bierzo
León;ARGANZA;240074;SAN JUAN DE LA MATA;24007000600;2020-09-08;Día del Bierzo
León;ARGANZA;240074;SAN VICENTE;24007000800;2020-09-08;Día del Bierzo
León;ASTORGA;240080;;;2020-04-20;Santo Toribio
León;BALBOA;240093;;;2020-07-18;Santa Marina
León;BARRIOS DE LUNA (LOS);240129;MORA DE LUNA;24012000400;2020-08-10;San Justo y Pastor
León;BARRIOS DE LUNA (LOS);240129;VEGA DE CABALLEROS;24012000700;2020-08-17;San Roque
León;BEMBIBRE;240140;VEGA DE CABALLEROS;24012000700;2020-09-14;
León;BEMBIBRE;240140;;;2020-09-15;
León;BERCIANOS DEL PÁRAMO;240172;BERCIANOS DEL PÁRAMO;24017000000;2020-05-15;San Isidro Labrador
León;BERCIANOS DEL PÁRAMO;240172;VILLAR DEL YERMO;24017000200;2020-02-03;San Blas
León;BERCIANOS DEL PÁRAMO;240172;VILLAR DEL YERMO;24017000200;2020-05-15;San  Isidro Labrador
León;BERLANGA DEL BIERZO;240191;;;2020-06-29;San Pedro
León;BERLANGA DEL BIERZO;240191;;;2020-12-04;Santa Bárbara
León;BOCA DE HUÉRGANO;240205;BARNIEDO DE LA REINA;24020000100;2020-08-28;San Vicente
León;BOCA DE HUÉRGANO;240205;BESANDE;24020000200;2020-08-17;Nuestra Señora
León;BOCA DE HUÉRGANO;240205;BESANDE;24020000200;2020-08-18;Nuestra Señora
León;BOCA DE HUÉRGANO;240205;ESPEJOS DE LA REINA (LOS);24020000400;2020-08-13;Nuestra Señora
León;BOCA DE HUÉRGANO;240205;SIERO DE LA REINA;24020000700;2020-07-24;Santiago
León;BOCA DE HUÉRGANO;240205;VALVERDE DE LA SIERRA;24020000800;2020-01-22;San Vicente
León;BOÑAR;240212;BOÑAR;24021000000;2020-08-17;San Roque
León;BOÑAR;240212;BARRIO DE LAS OLLAS;24021000200;2020-06-24;San Juan Bautista
León;BOÑAR;240212;COLLE;24021000600;2020-08-27;San Ramón Nonato
León;BOÑAR;240212;FELECHAS;24021000700;2020-08-11;Santa Lucía
León;BOÑAR;240212;GRANDOSO;24021000800;2020-08-20;Las Mercedes
León;BOÑAR;240212;OVILLE;24021001100;2020-07-27;Santiago Apóstol
León;BOÑAR;240212;VALDECASTILLO;24021001600;2020-08-20;Virgen de Lourdes
León;BOÑAR;240212;VOZNUEVO;24021002000;2020-08-29;San J. Degollado
León;BOÑAR;240212;VEGA (LA);9410003306;2020-07-06;Ntra. Sra. del Rosario
León;BORRENES;240227;VOCES;24022000500;2020-12-18;Virgen de la O
León;BRAZUELO;240233;;;2020-07-25;Patrón Santiago
León;BURGO RANERO (EL);240248;VILLAMUÑÍO;24024000400;2020-08-14;
León;BURÓN;240251;BURÓN;24025000000;2020-08-17;
León;BURÓN;240251;CASASUERTES;24025000200;2020-02-05;
León;BURÓN;240251;CUÉNABRES;24025000300;2020-02-11;
León;BURÓN;240251;VEGACERNEJA;24025000700;2020-02-05;
