,AMBITO,COMUNIDAD - MUNICIPIO,FECHA,FIESTA - LOCALIDAD,lat,lng
23,LOCAL,BIMENES,2023-12-04,Conmemoración de Santa Bárbara,43.32976000000008,-5.566229999999962
24,LOCAL,BOAL,2023-05-29,Festividad de San Fernando,43.42766000000006,-6.818769999999972
25,LOCAL,BOAL,2022-07-25,Festividad de Santiago,43.42766000000006,-6.818769999999972
26,LOCAL,CABRALES,2023-01-23,San Ildefonso,43.30247000000003,-4.815899999999942
27,LOCAL,CABRALES,2023-09-22,Santo Tomás,43.30247000000003,-4.815899999999942
28,LOCAL,CABRANES,2023-05-15,San Francisco de Paula y 44º Festival del Arroz con Leche,43.41676000000007,-5.410319999999956
29,LOCAL,CABRANES,2023-08-29,Carmen de Torazu y Jira de Incós,43.41676000000007,-5.410319999999956
30,LOCAL,CANDAMO,2023-02-03,Las Candelas,43.434600000000046,-6.061709999999948
31,LOCAL,CANDAMO,2023-06-12,Lunes siguiente al Festival de la Fresa excepto en San Román,43.434600000000046,-6.061709999999948
32,LOCAL,CANDAMO,2023-08-10,"San Lorenzo, sólo en San Román",43.434600000000046,-6.061709999999948
33,LOCAL,CANGAS DE ONÍS,2023-06-13,Fiesta de San Antonio,43.350790000000075,-5.130229999999926
34,LOCAL,CANGAS DE ONÍS,2023-07-25,Fiesta del Pastor,43.350790000000075,-5.130229999999926
35,LOCAL,CANGAS DEL NARCEA,2023-07-17,Laborable siguiente a la Fiesta del Carmen,43.180210000000045,-6.550209999999936
36,LOCAL,CANGAS DEL NARCEA,2023-07-22,La Magdalena,43.180210000000045,-6.550209999999936
37,LOCAL,CARAVIA,2023-07-31,Lunes siguiente a la Fiesta de Santiago,43.463670000000036,-5.186639999999954
38,LOCAL,CARAVIA,2023-09-04,Lunes siguiente a la Consolación,43.463670000000036,-5.186639999999954
39,LOCAL,CARREÑO,2023-08-01,Fiesta de San Félix,43.58984000000004,-5.767529999999965
40,LOCAL,CARREÑO,2023-09-14,Festividad del Santísimo Cristo de Candás,43.58984000000004,-5.767529999999965
41,LOCAL,CASO,2023-06-23,San Juan,43.182570000000055,-5.344269999999938
42,LOCAL,CASO,2023-10-09,Ferias Ganaderas,43.182570000000055,-5.344269999999938
43,LOCAL,CASTRILLÓN,2023-04-10,Lunes de Pascua,43.559600000000046,-5.974519999999927
44,LOCAL,CASTRILLÓN,2023-07-03,Día de Castrillón,43.559600000000046,-5.974519999999927
45,LOCAL,CASTROPOL,2023-07-25,Santiago Apóstol,43.52431000000007,-7.027719999999931
46,LOCAL,CASTROPOL,2023-08-16,San Roque,43.52431000000007,-7.027719999999931
47,LOCAL,COAÑA,2023-05-15,Día internacional de la familia,43.516590000000065,-6.747369999999933
48,LOCAL,COAÑA,2023-08-07,Festividad de San Cayetano en Sequeiro,43.516590000000065,-6.747369999999933
49,LOCAL,COLUNGA,2023-07-10,Nuestra Sra. de Loreto en Colunga,43.485460000000046,-5.275139999999965
50,LOCAL,COLUNGA,2023-08-22,San Roque en Lastres,43.485460000000046,-5.275139999999965
