,festival,localidad,lat,lng,status,est,type,prov,comunidad,presupuesto_2022,turistas_2022,city_budget,city_pop,euro_per_citizen,turista_to_pop,budget_to_pop,start,fin,web,st,fi
73,La Feria,Málaga,36.71847,-4.41965,local,1887,fair,Málaga,Andalucía ,2400000,921000,976000000,579076,4.14,1.59,1685.44,8/13/2023,8/20/2023,https://www.malaga.eu/feria-de-malaga/,2023-08-13,2023-08-20
74,San Lorenzo de Huesca,Huesca,42.13357,-0.40919,local,1663,cabalgata ,Huesca,Aragon,778000,100000,53000000,53429,14.56,1.87,991.97,8/9/2023,8/15/2023,https://www.fiestassanlorenzo.es/inicio,2023-08-09,2023-08-15
75,La Vaquilla,Teruel,40.3423,-1.10457,local,1982,religious/ popular,Teruel,Aragon,100000,60000,45000000,36240,2.76,1.66,1241.72,7/1/2023,7/11/2023,http://www.vaquillas.es/,2023-07-01,2023-07-11
76,Fiestas del Pilar,Zaragoza,41.65606,-0.87734,local,1979,religious/ popular,Zaragoza,Aragon,1800000,5000000,830900000,673010,2.67,7.43,1234.6,10/8/2023,10/16/2023,https://fiestasdelpilar.com/,2023-10-08,2023-10-16
77,Fiestas de la Blanca,Vitoria-Gasteiz,42.84998,-2.67268,local,1917,music,Alava,Basque Country,800000,50000,434800000,253672,3.15,0.2,1714.02,8/4/2023,8/9/2023,https://www.vitoria-gasteiz.org/wb021/was/contenidoAction.do?idioma=es&uid=u3a27921f_126da61747f__7fdc,2023-08-04,2023-08-09
78,Tamborrada,San Sebastián,43.14363,-2.19402,local,1597,music,Gipuskoa,Basque Country,500000,100000,362000000,188102,2.66,0.53,1924.49,1/19/2023,1/20/2023,https://danborrada.donostiakultura.eus/es/,2023-01-19,2023-01-20
79,Aste Nagusia,Bilbao,43.26271,-2.92528,local,1978,religious/ popular,Viscaya,Basque Country,2400000,1500000,663500000,344127,6.97,4.36,1928.07,8/19/2023,8/27/2023,https://www.bilbao.eus/cs/Satellite?c=Page&cid=1272990064303&language=es&pageid=1272990064303&pagename=Bilbaonet%2FPage%2FBIO_HomeFiestas,2023-08-19,2023-08-27
80,Día de la Montaña,Cabezón de la Sal,43.19722,-4.03019,local,1967,historic,Cantabria,Cantabria,50000,5000,6000000,8273,6.04,0.6,725.25,8/14/2023,8/14/2023,https://turismocabezondelasal.com/dia-de-la-montana/,2023-08-14,2023-08-14
81,Vijanera de Silio,Molledo,43.14839,-4.01974,local,1937,carnaval,Cantabria,Cantabria,116000,1500,1000000,1494,77.64,1.0,669.34,1/7/2023,1/7/2023,https://www.vijanera.com/,2023-01-07,2023-01-07
82,La Feria de Albacete,Albacete,38.99793,-1.85292,local,1933,fair,Albacete,Castilla-La Mancha,650000,3119000,179000000,172357,3.77,18.1,1038.54,9/7/2023,9/17/2023,https://feria.albacete.es/es,2023-09-07,2023-09-17
83,La Pandorga,Ciudad Real,38.98439,-3.93027,local,1964,fair,Ciudad Real,Castilla-La Mancha,52000,50000,80000000,75104,0.69,0.67,1065.19,7/30/2023,7/31/2023,https://pandorgos.es/HISTORIA%20DE%20LA%20PANDORGA,2023-07-30,2023-07-31
84,San Mateo,Cuenca,40.07492,-2.13615,local,1177,fair,Cuenca ,Castilla-La Mancha,258000,80000,53000000,53988,4.78,1.48,981.7,9/18/2023,9/21/2023,https://visitacuenca.es/es/content/descubre-fiestas-y-festivales/san-mateo,2023-09-18,2023-09-21
85,Caballada de Atienza,Atienza,40.6298,-3.16649,local,1679,historic,Guadalajara,Castilla-La Mancha,20000,10000,615000,395,50.63,25.32,1556.96,5/5/2023,6/5/2023,https://turismoatienza.es/fiestas/la-caballada/,2023-05-05,2023-06-05
86,Carnaval de Cebreros,Cebreros,40.4551,-4.46471,local,2009,carnaval,Avila,Castilla-León ,50000,22000,3400000,3213,15.56,6.85,1058.2,2/26/2023,3/1/2023,https://carnavaldecebreros.es/,2023-02-26,2023-03-01
87,El Curpillos,Burgos,42.34126,-3.69992,local,1953,cabalgata ,Burgos,Castilla-León ,120000,45000,203000000,176418,0.68,0.26,1150.68,6/17/2023,6/17/2023,https://cultura.aytoburgos.es/las-fiestas-de-burgos/-/asset_publisher/M9PcPaxb1C3W/content/el-curpillos.-17-de-junio-de-2022,2023-06-17,2023-06-17
88,Las Cabezadas de León,León,42.60003,-5.57032,local,1972,historic,Leon,Castilla-León ,80000,60000,174500000,120951,0.66,0.5,1442.73,4/24/2023,4/24/2023,https://leon.es/tradiciones-de-leon/cabezadas/,2023-04-24,2023-04-24
89,Pedrea del Pan y el Queso,Palencia,42.01043,-4.53927,local,1931,gastronomic,Palencia,Castilla-León ,50000,20000,93000000,76302,0.66,0.26,1218.84,4/17/2023,4/17/2023,https://www.diariopalentino.es/tags/55782/Pedrea+del+Pan+y+el+Quesillo,2023-04-17,2023-04-17
90,Fiesta Lunes de Aguas Salamanca,Salamanca,40.96426,-5.66385,local,1543,gastronomic,Salamanca,Castilla-León ,150000,50000,181500000,143978,1.04,0.35,1260.61,4/25/2023,4/25/2023,https://www.salamancalia.es/evento/lunes-de-aguas-2023/,2023-04-25,2023-04-25
91,Las Águedas de Zamarramala,Segovia,40.94847,-4.11648,local,1980,historic,Segovia,Castilla-León ,80000,60000,69000000,52057,1.54,1.15,1325.47,2/5/2023,2/7/2023,https://zamarramala.com/programa-santa-agueda/,2023-02-05,2023-02-07
92,Fiestas de San Juan o de la Madre de Dios,Soria,41.75631,-2.47285,local,1956,religious/ popular,Soria,Castilla-León ,150000,50000,63000000,39695,3.78,1.26,1587.1,6/29/2023,7/4/2023,https://www.turismosoria.es/que-hacer/fiestas-de-san-juan/,2023-06-29,2023-07-04
93,El toro de la Vega,Tordesillas,41.65419,-4.73214,local,1980,corrida,Tordesillas,Castilla-León ,61500,20000,8000000,8762,7.02,2.28,913.03,9/13/2023,9/13/2023,http://patronatodeltorodelavega.com,2023-09-13,2023-09-13
94,El Zangarrón de Sanzoles,Sanzoles del Vino,41.43222,-5.56694,local,1980,carnaval,Zamora,Castilla-León ,25000,15000,340000,471,53.08,31.85,721.87,12/25/2023,12/26/2023,https://elzangarrondesanzoles.com/,2023-12-25,2023-12-26
95,La Patum,Berga,41.40815,2.17926,local,1622,cabalgata ,Barcelona,Catalonia,60000,20000,22500000,16762,3.58,1.19,1342.32,6/15/2023,6/19/2023,https://www.lapatum.cat/,2023-06-15,2023-06-19
96,Carnaval de Sitges,Sitges,41.23667,1.82281,local,1870,carnaval ,Barcelona ,Catalonia,555600,50000,53000000,30217,18.39,1.65,1753.98,2/4/2023,2/22/2023,https://www.visitsitges.com/carnaval-sitges-2023/,2023-02-04,2023-02-22
97,La Fiesta Mayor ,Vilafranca del Penedès,41.34638,1.69952,local,1983,fair,Barcelona ,Catalonia,435000,50000,52000000,39969,10.88,1.25,1301.01,8/29/2023,9/2/2023,https://festamajor.vilafranca.cat/,2023-08-29,2023-09-02
